venda_sk,order_id,order_item_id,cliente_sk,produto_sk,tempo_sk,valor_produto,valor_frete,valor_total
1,00010242fe8c5a6d1ba2dd792cb16214,1,65558,25866,64,58.9,13.29,72.19
2,00018f77f2f0320c557190d7a144bdd3,1,34266,27231,125,239.9,19.93,259.83
3,000229ec398224ef6ca0657da4fc703e,1,34956,22625,222,199.0,17.87,216.87
4,00024acbcdf0a6daa1e931b038114c75,1,51764,15404,3,12.99,12.79,25.78
5,00042b26cf59d7ce69dfabb4e55b4fd9,1,7603,8863,512,199.9,18.14,218.04
6,00048cc3ae777c65dbb7d2a0634bc1ea,1,22998,3940,132,21.9,12.69,34.59
7,00054e8431b9d7675808bcb819fb4a32,1,54487,22293,342,19.9,11.85,31.75
8,000576fe39319847cbb9d288c5617fa6,1,17921,6975,304,810.0,70.75,880.75
9,0005a1a1728c9d785b8e2b08b904576c,1,14036,2714,269,145.95,11.65,157.6
10,0005f50442cb953dcd1d21e1fb923495,1,22727,28256,135,53.99,11.4,65.39
11,00061f2a7bc09da83e415a52dc8a4af1,1,83428,14395,394,59.99,8.88,68.87
12,00063b381e2406b52ad429470734ebd5,1,51542,23294,156,45.0,12.98,57.98
13,0006ec9db01a64e59a68b2c340bf65a7,1,86084,9662,2,74.0,23.32,97.32
14,0008288aa423d2a3f00fcb17cd7d8719,1,13980,4599,5,49.9,13.37,63.27
15,0008288aa423d2a3f00fcb17cd7d8719,2,13980,4599,5,49.9,13.37,63.27
16,0009792311464db532ff765bf7b182ae,1,28501,1132,247,99.9,27.65,127.55
17,0009c9a17f916a706d71784483a5d643,1,23123,9419,111,639.0,11.34,650.34
18,000aed2e25dbad2f9ddb70584c5a2ded,1,30820,30286,80,144.0,8.77,152.77
19,000c3e6612759851cc3cbb4b83257986,1,96369,1403,553,99.0,13.71,112.71
20,000e562887b1f2006d75e0be9558292e,1,51954,2781,194,25.0,16.11,41.11
21,000e63d38ae8c00bbcb5a30573b99628,1,19531,24602,328,47.9,8.88,56.78
22,000e906b789b55f64edcb1f84030f90d,1,64044,7116,16,21.99,11.85,33.84
23,000f25f4d72195062c040b12dce9a18a,1,63915,16625,109,119.99,44.4,164.39
24,001021efaa8636c29475e7734483457d,1,60605,27298,79,49.0,15.1,64.1
25,0010b2e5201cc5f1ae7e9c6cc8f5bd00,1,14728,26773,144,48.9,16.6,65.5
26,00119ff934e539cf26f92b9ef0cdfed8,1,38350,16956,445,219.9,16.98,236.88
27,0011d82c4b53e22e84023405fb467e57,1,83944,26859,193,289.0,26.33,315.33
28,00125cb692d04887809806618a2a145f,1,23983,13502,322,109.9,25.51,135.41
29,00130c0eee84a3d909e75bc08c5c3ca1,1,87396,25990,50,27.9,7.94,35.84
30,0013503b13da1eac686219390b7d641b,1,96824,4764,229,119.9,17.32,137.22
31,00137e170939bba5a3134e2386413108,1,16113,12044,38,397.0,24.65,421.65
32,001427c0ec99cf8af737bd88e92fd444,1,49544,21860,527,59.9,23.35,83.25
33,00143d0f86d6fbd9f9b38ab440ac16f5,1,58261,21359,76,21.33,15.1,36.43
34,00143d0f86d6fbd9f9b38ab440ac16f5,2,58261,21359,76,21.33,15.1,36.43
